itemId	binId
650-901-005-000	C-05-C-3-A
650-088-001-000	C-05-C-3-B
539-010-004-603	C-05-C-3-D
993-208-001-100	C-05-C-3-F
650-888-013-000	C-05-D-1-A
701-107-101	C-05-D-1-B
934-234-001-131	C-05-D-1-D
908-105-009-105	C-05-D-1-E
930-888-001-604	C-05-D-2-A
970-719-002-105	C-05-D-2-C
753-331-003-603	C-05-D-2-D
650-905-003-698	C-05-D-3-A
650-904-001-100	C-05-D-3-B
240-300-002-653	C-05-D-3-C
559-998-015-000	C-05-D-3-D
029-201-005	C-05-D-4A
537-030-002-000	C-05-E-1-B
222-921-001-661	C-05-E-2
539-242-007-100	C-05-E-3
218-284-002-000	C-05-E-3-A
533-030-002-694	C-05-E-3-D
14119-101-511	C-05-F-3
750-869-002-603	C-05-F-3-1
